FIRM,PRICE,ACCOUNT SIZE,PROFIT SPLIT,PROFIT TARGET,MAX. DAILY LOSS,MAX. TOTAL DRAWDOWN,COMMISION PER ROUND LOT (FOREX),PROFIT TARGET TO DRAWDOWN RATIO,PAYOUT FREQUENCY,TRUST PILOT RATING,YEAR STABLISHED AND COUNTRY,LOYALTY POINTS,Name,Original Price,Discount Price,Account Size,Profit Split,Phase 1 Profit Target,Phase 2 Profit Target,Max Daily Loss,Max Total Drawdown,Daily Drawdown Reset Type,Drawdown Method,Minimun Trading Days,Maximun Trading Days,Stop-loss Required,Profit Target to Drawdown Ratio,Comissions (Forex),Leverage,Refund Fee,Scaling,Expert Advisors (EAS) Allowed,Copy Trading,News Trading,Weekend Holding,Auto-close at Target,Drawdown Blocker,Payout Frequency,Max Allocation (without scaling),Swap Free Accounts,Technology,Broker,Trading Platforms,Trust Pilot Rating,Established,Country,Loyalty Points,STEPS,logo
Trade The Pool,$490.00 $441.00 ,24K,70%,"1: $11,700(3xDD)","$1,300","$3,900",$0.75 minimum or 1/2 cent per share,1: 0.33,14 days,4.5,September 2022 Israel,485,Trade The Pool - Extra Buying Power - Swing - 1-Step - 24K,$490.00,$441.00,24K,70%,"$11,700(3xDD)", ,"$1,300","$3,900",Balance-based,Static,"None on Evaluation, 4 Days (Funded)",100 Days,No,1: 0.33,$0.75 minimum or 1/2 cent per share,Up to,No,Yes,No,Payout Frequency,Yes,Yes,No,No,14 days,No limit,No, ,Interactive Brokers,Trader Evolutions,4.5,"September 1, 2022",Israel,485,1 step,Trade The Pool.svg
E8 Markets,$358.00 $286.40 ,100K,80%,1: 5% 2: 5% 3: 5%,5%,5%,"$0 standard, $5/round lot of raw spreads",1: 0.33,Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts,4.6,November 2021 United States,158,E8 Markets - E8 Track 1:1 - 3-Steps 100K,$358.00,$286.40,100K,80%,5%,5%,5%,5%,Balance-based,Static,1Day,Unlimited,No,1: 0.33,"$0 standard, $5/round lot of raw spreads",Up to 50:1,No,Yes,Yes,14 Days,Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts,400K,No,In-House,Virtual Markets,"MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)",4.6,"November 1, 2021",United States,158,3 steps,E8 Markets.svg
Alpha Capital Group,$997.00 $797.60 ,200K,80%,1: 10% 2: 5%,5%,10%,$0,1: 0.67,14 Days,4.4,November 2021 United Kingdom,877,Alpha Capital - Alpha Pro - 2-Step 200K,$997.00,$797.60,200K,80%,10%,5%,5%,10%,Balance-based,Static,3 Days,Unlimited,No,1: 0.67,$0,Up to 100:1,0.25% of the account balance (bonus fee),Yes,Yes,Swap Free Accounts,Allowed: Swing accounts. Not allowed: Pro accounts (Permitted during Evaluation),No,No,No,14 Days,400K,No,In-House,ACG Markets,"MT5, cTrader, (DXTrade for US traders)",4.4,"November 1, 2021",United Kingdom,877,2 steps,Alpha Capital Group.svg
E8 Markets,$208.00 $166.40 ,50K,80%,1: 8% 2: 4% 3: 4%,4%,8%,"$0 standard, $5/round lot of raw spreads",1: 0.5,Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts,4.6,November 2021 United States,92,E8 Markets - E8 Track - 3-Steps 50K,$208.00,$166.40,50K,80%,8%,4%,4%,8%,Balance-based,Static,1Day,Unlimited,No,1: 0.5,"$0 standard, $5/round lot of raw spreads",Up to 50:1,No,Yes,Yes,Yes,Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts,400K,No,In-House,Virtual Markets,"MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)",4.6,"November 1, 2021",United States,92,3 steps,E8 Markets.svg
Blue Guardian,$497.00 $370.27 ,100K,85%,1: 10%,4%,6%,$5/round lot (Match Trade),1: 0.6,14 Days,4.1,June 2021 United Arab Emirates,574,Blue Guardian - Rapid Guardian - 1-Step 100K,$497.00,$370.27,100K,85%,10%, ,4%,6%,Balance / Equity - Highest at EOD,Trailing,3 Days with 0.5% profit each day,Unlimited,No,1: 0.6,$5/round lot (Match Trade),Up to 100:1 (evaluation leverage),100% on your 4th payout,Yes,Yes,Technology,Allowed: Evaluation accounts. Not allowed: Funded accounts within 2.5 minutes before or after high-impact news.,Yes,No,Yes,14 Days,800K (50K for Pakistan traders),No,White-Label,*,"MT5, (TradeLocker, Match Trader for US traders)",4.1,"June 1, 2021",United Arab Emirates,574,1 step,Blue Guardian.svg
Goat Funded Trader,$198.00 $158.40 ,5K,65% up to 95%,x,4%,8%,$5/round lot, ,"Triple payday: 5th, 15th and 25th of each month",4.1,May 2023 Spain,280,Goat Funded Trader - Instant - No Evaluation 5K,$198.00, ,5K,65% up to 95%, , ,4%,8%,Balance / Equity - Highest at EOD,Trailing (Smart Drawdown),10 Days,,No,1:,$5/round lot,Up to 50:1,0%,Yes,Yes,In-House,"Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news",No,No,No,"Triple payday: 5th, 15th and 25th of each month",800K (50k for Pakistan traders),Yes,In-House,Liquidity Providers,"Match Trader, TradeLocker",4.1,"May 1, 2023",Spain,280,Instant,Goat Funded Trader.png
My Funded FX,$300.00 $262.50 ,50K,80%,1: 10%,4%,6%,"$3/round lot (MatchTrade, DXTrade)",1: 0.6,14 Days,4.2,June 2022 United States,433,My Funded FX - 1-Step - 1-Step 50K,$300.00,$262.50,50K,80%,10%, ,4%,6%,Balance-based,Trailing,3 days of .5% profit per day,Unlimited,No,1: 0.6,"$3/round lot (MatchTrade, DXTrade)",Up to 1:30,0%,Yes,Yes,Broker,Allowed with restriction: 3 minutes before and after a red folder news,Yes,No,No,14 Days,400K,No,White-Label,"Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)",4.2,"June 1, 2022",United States,433,1 step,My Funded FX.svg
Maven,$19.00 $17.48 ,5K,80%,1: 8%,3%,5%,$4/round lot,1: 0.63,14 Days,4.6,November 2022 Canada,23,Maven - 1-Step Challenge - Standard - 1-Step 5K,$19.00,$17.48,5K,80%,8%, ,3%,5%,Balance / Equity - Highest at EOD,Trailing,,Unlimited,No,1: 0.63,$4/round lot,Up to 75:1,"*Yes, 100% for standard account on 3rd payout",Yes,Yes,Institutional Liquidity Providers,Allowed with restriction: 2 minutes before and after a red folder news,Yes,Yes,No,14 Days,200K,Yes,White-Label,Match Trade,"cTrader, (Match Trader for US traders)",4.6,"November 1, 2022",Canada,23,1 step,Maven.png
City Traders Imperium,$39.00 $33.15 ,5K,80% up to 100% + Monthly Salary,1: 10% 2: 5%,5%,10%,$4.50/round lot,1: 0.67,"10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly",4.5,June 2018 United Arab Emirates,55,City Traders Imperium - 2-Step Challenge Funding - 2-Steps 2.5K,$39.00,$33.15,2.5K,80% up to 100% + Monthly Salary,10%,5%,5%,10%,Balance-based,Static,,Unlimited,Yes,1: 0.67,$4.50/round lot,Up to 30:1,"*Yes, 100% but only on the 2-step",Yes,Yes,Trading Platform(s),Yes,Yes,No,No,"10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly",200K,No,In-House,Mabicon,MT5,4.5,"June 1, 2018",United Arab Emirates,55,2 steps,City Traders Imperium.svg
FundedNext,$379.00 $360.05 ,50K,60% + 15% from challenge phase,1: 25%,5%,10%,$3/round lot,1: 0.4,Monthly,4.5,March 2022 United Arab Emirates,216,FundedNext - Express Non-Consistency - 1-Step 50K,$379.00,$360.05,50K,60% + 15% from challenge phase,25%, ,5%,10%,Balance-based,Static,10 Days,Unlimited,No,1: 0.4,$3/round lot,Up to 100:1,100%,Yes,Yes,"MT4, MT5, cTrader, DXtrade","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.",Yes,No,No,Monthly,"300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)",Yes,In-House,FundedNext Ltd,"MT4, MT5, cTrader",4.5,"March 1, 2022",United Arab Emirates,216,1 step,FundedNext.svg
Finotive Funding,"$1,049.00 $786.75 ",200K,75%,1: 10%,4%,7.50%,$4/round lot,1: 0.75,"Payout on demand, then every 7 Days",3.8,April 2021 Cyprus,727,Finotive Funding - 1 Phase Challenge - 1-Step 200K,"$1,049.00",$786.75,200K,75%,10%, ,4%,7.50%,Balance-based,Static,,Unlimited,Yes (Instant accounts only),1: 0.75,$4/round lot,Up to 400:1,"Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)",Yes,Yes,Buyers Rating,"Yes, News Straddling is Prohibited",Yes,No,No,"Payout on demand, then every 7 Days",1.4M,Yes,In-House,Finotive Markets LLC,MT5,3.8,"April 23, 2021",Hungary,727,1 step,Finotive Funding.svg
Blueberry Funded,"$1,100.00 $935.00 ",200K,80%,1: 10%,4%,6%,$7/round lot,1: 0.6,14 Days,3.8,August 2024 Saint Vincent and the Grenadines,1543,Blueberry Funded - 1 Step Evaluation - 1-Step - 200K,"$1,100.00",$935.00,200K,80%,10%, ,4%,6%,Balance / Equity - Highest at EOD,Static,3 Days (0.5% of profit to be made),Unlimited,"No, see faqs for more information",1: 0.6,$7/round lot,Up to 1:30,"*Yes, on rapid accounts",Yes,Yes,"*Yes, we allow for self copy trading, ie: copy trading between one user's accounts is okay, but not between different people.",No,Yes,Yes,No,14 Days,400K,No,In-House,Blueberry Markets,"MT4, MT5, DXTrade",3.8,"August 7, 2024",Saint Vincent and the Grenadines,1543,1 step,Blueberry Funded.svg
Earn2Trade,$350.00 $140.00 ,150K,80%,"1: $9,000","$3,300","$4,500",Visit Website FAQ,1: 0.5,7 Days,4.6,January 2017 United States,462,Earn2Trade - The Gauntlet Mini 150K - 1-Step - 150K,$350.00,$140.00,150K,80%,"$9,000", ,"$3,300","$4,500",Balance-based,EOD trailing,10 Days,Unlimited,No,1: 0.5,Visit Website FAQ,Up to Up to 15 contracts,No,Yes,No,News Trading,Yes,No,No,No,7 Days,3 accounts,No, ,"Phillip Capital, EdgeClear","NinjaTrader, Finamark, R | Trader & R | Trader Pro, Overcharts",4.6,"January 1, 2017",United States,462,1 step,Earn2Trade.svg
Elite Trader Funding,$75.00 $37.50 ,100K,90%,"1: $6,000",,"$3,000", ,1: 0.5,"15 Days for 1st to 2nd payout, then every 10 Days",3.7,February 2022 United States,62,Elite Trader Funding - Fast Track Evaluation - 1-Step - 100K,$75.00,$37.50,100K,90%,"$6,000", ,,"$3,000",No daily drawdown,Intraday unrealized profit trailing drawdown,5 Days,14 Days,No,1: 0.5, ,"Up to 14 mini, 140 micros or 14 small",No,No,Yes,No,Yes,No,No,No,"15 Days for 1st to 2nd payout, then every 10 Days",3 accounts,No, ,"Rithmic, Tradovate","NinjaTrader, TradingView, Tradovate, Rithmic, R | Trader, ATAS, Bookmap, EdgeProX, eSignal, Finamark, Investor/RY, Jigsawdaytradr, Jigsawdaytradr+, MotiveWave, MultiCharts , MultiCharts+, OptimusFlow, OverCharts, Quantower, Sierra Chart, TigerTrade, Trade Navigator, VolFix, Volumetrica",3.7,"February 1, 2022",United States,62,1 step,Elite Trader Funding.png
My Funded Futures,$165.00 $156.75 ,50K,90%,"1: $4,000",,"$2,000", ,1: 0.5,14 Days,4.5,November 2023 United States,207,My Funded Futures - Expert 50K - 1-Step - 50K,$165.00,$156.75,50K,90%,"$4,000", ,,"$2,000",No daily drawdown,Trailing,1 Day,Unlimited,No,1: 0.5, ,Up to 5 Contracts,No,No,No,Weekend Holding,No,No,No,No,14 Days,10 accounts/1.5M,No, ,"Tradovate, DXFeed","TradingView, Tradovate, Ninjatrader, DxFeed, Quantower, Volumetrica Trading, ATAS, Volsys, Volbook",4.5,"November 1, 2023",United States,207,1 step,My Funded Futures.svg
Finotive Funding,$675.00 $506.25 ,25K,55%,x,5%,8%,$4/round lot,1: *,"Payout on demand, then every 7 Days",3.8,April 2021 Cyprus,468,Finotive Funding - Instant Standard - Instant 25K,$675.00,$506.25,25K,55%, , ,5%,8%,Balance-based,Static,,Unlimited,Yes (Instant accounts only),1: *,$4/round lot,Up to 100:1,"Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)",Yes,Yes,Yes,"Yes, News Straddling is Prohibited",Yes,No,No,"Payout on demand, then every 7 Days",1.4M,Yes,In-House,Finotive Markets LLC,MT5,3.8,"April 23, 2021",Hungary,468,Instant,Finotive Funding.svg
Lark Funding,$60.00 $54.00 ,5K,80%,1: 5% 2: 4% 3: 3%,,5%,$7/round lot,1: 0.42,"First 14 days, then 7 days",4.3,June 2022 Canada,79,Lark Funding - 3-Stage Evaluation - 3-Steps 5K,$60.00,$54.00,5K,80%,5%,4%,,5%,Balance-based,Static,,Unlimited,No,1: 0.42,$7/round lot,Up to 15:1,No,No,Yes,Auto-close at Target,Yes,No,Yes,No,"First 14 days, then 7 days",600K,Yes,White-Label,ThinkMarkets,"cTrader, (DXtrader for US traders)",4.3,"June 1, 2022",Canada,79,3 steps,Lark Funding.svg
Blue Guardian,$140.00 $104.30 ,10K,85%,1: 10% 2: 4%,4%,10%,$5/round lot (Match Trade),1: 0.71,14 Days,4.1,June 2021 United Arab Emirates,162,Blue Guardian - Elite Guardian - 2-Steps 10K,$140.00,$104.30,10K,85%,10%,4%,4%,10%,Balance / Equity - Highest at EOD,Static,3 Days with 0.5% profit each day,Unlimited,No,1: 0.71,$5/round lot (Match Trade),Up to 50:1,100% on your 4th payout,Yes,Yes,Yes,Allowed: Evaluation accounts. Not allowed: Funded accounts within 2.5 minutes before or after high-impact news.,Yes,No,Yes,14 Days,800K (50K for Pakistan traders),No,White-Label,*,"MT5, (TradeLocker, Match Trader for US traders)",4.1,"June 1, 2021",United Arab Emirates,162,2 steps,Blue Guardian.svg
FundedNext,$299.00 $284.05 ,50K,80% + 15% from challenge phase,1: 8% 2: 5%,5%,10%,$3/round lot,1: 0.77,"First 30 days, then 14 Days",4.5,March 2022 United Arab Emirates,170,FundedNext - Stellar Challenge - 2-Steps 50K,$299.00,$284.05,50K,80% + 15% from challenge phase,8%,5%,5%,10%,Balance-based,Static,5 Days,Unlimited,No,1: 0.77,$3/round lot,Up to 100:1,100%,Yes,Yes,Drawdown Blocker,"Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.",Yes,No,No,"First 30 days, then 14 Days","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)",Yes,In-House,FundedNext Ltd,"MT4, MT5, cTrader",4.5,"March 1, 2022",United Arab Emirates,170,2 steps,FundedNext.svg
FundedNext,$299.00 $284.05 ,50K,60% + 15% from challenge phase,1: 25%,5%,10%,$3/round lot,1: 0.4,Monthly,4.5,March 2022 United Arab Emirates,170,FundedNext - Express Consistency - 1-Step 50K,$299.00,$284.05,50K,60% + 15% from challenge phase,25%, ,5%,10%,Balance-based,Static,10 Days,Unlimited,No,1: 0.4,$3/round lot,Up to 100:1,100%,Yes,Yes,Yes,"Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.",No,No,No,Monthly,"300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)",Yes,In-House,FundedNext Ltd,"MT4, MT5, cTrader",4.5,"March 1, 2022",United Arab Emirates,170,1 step,FundedNext.svg
E8 Markets,"$1,188.00 $950.40 ",400K,80%,1: 8% 2: 4% 3: 4%,4%,8%,"$0 standard, $5/round lot of raw spreads",1: 0.5,Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts,4.6,November 2021 United States,523,E8 Markets - E8 Track - 3-Steps 400K,"$1,188.00",$950.40,400K,80%,8%,4%,4%,8%,Balance-based,Static,1Day,Unlimited,No,1: 0.5,"$0 standard, $5/round lot of raw spreads",Up to 50:1,No,Yes,Yes,Payout Frequency,Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts,400K,No,In-House,Virtual Markets,"MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)",4.6,"November 1, 2021",United States,523,3 steps,E8 Markets.svg
Blue Guardian,$67.00 $49.92 ,10K,85%,1: 6% 2: 6% 3: 6%,4%,8%,$5/round lot (Match Trade),1: 0.44,14 Days,4.1,June 2021 United Arab Emirates,77,Blue Guardian - 3 Phase Challenge - 3-Steps 10K,$67.00,$49.92,10K,85%,6%,6%,4%,8%,Balance / Equity - Highest at EOD,Static,3 Days with 0.5% profit each day,Unlimited,No,1: 0.44,$5/round lot (Match Trade),Up to 100:1 (evaluation leverage),100% on your 4th payout,Yes,Yes,14 Days,Allowed: Evaluation accounts. Not allowed: Funded accounts within 2.5 minutes before or after high-impact news.,Yes,No,Yes,14 Days,800K (50K for Pakistan traders),No,White-Label,*,"MT5, (TradeLocker, Match Trader for US traders)",4.1,"June 1, 2021",United Arab Emirates,77,3 steps,Blue Guardian.svg
Funding Traders,$200.00 $140.00 ,25K,90%,1: 10%,4%,5%,$3/round lot,1: 0.5,14 Days,4.5,April 2023 United Arab Emirates,308,Funding Traders - 1-Step Evaluation - 1-Step 25K,$200.00,$140.00,25K,90%,10%, ,4%,5%,Balance-based,Trailing,,Unlimited,"*No, but you can’t lose more than 2% on any single trade.",1: 0.5,$3/round lot,Up to 100:1,100%,Yes,Yes,Swap Free Accounts,Yes,Yes,No,No,14 Days,2M,Yes,In-House,"FUTRAD, Galaxy Path Capital","MT5, (DXtrade,TradeLocker for US traders)",4.5,"April 1, 2023",United Arab Emirates,308,1 step,Funding Traders.svg
Maven,$190.00 $174.80 ,50K,80%,1: 8%,3%,5%,$4/round lot,1: 0.63,14 Days,4.6,November 2022 Canada,231,Maven - 1-Step Challenge - Standard - 1-Step 50K,$190.00,$174.80,50K,80%,8%, ,3%,5%,Balance / Equity - Highest at EOD,Trailing,,Unlimited,No,1: 0.63,$4/round lot,Up to 75:1,"*Yes, 100% for standard account on 3rd payout",Yes,Yes,Yes,Allowed with restriction: 2 minutes before and after a red folder news,Yes,Yes,No,14 Days,200K,Yes,White-Label,Match Trade,"cTrader, (Match Trader for US traders)",4.6,"November 1, 2022",Canada,231,1 step,Maven.png
Blueberry Funded,$275.00 $233.75 ,50K,80%,1: 10%,4%,6%,$7/round lot,1: 0.6,14 Days,3.8,August 2024 Saint Vincent and the Grenadines,386,Blueberry Funded - 1 Step Evaluation - 1-Step - 50K,$275.00,$233.75,50K,80%,10%, ,4%,6%,Balance / Equity - Highest at EOD,Static,3 Days (0.5% of profit to be made),Unlimited,"No, see faqs for more information",1: 0.6,$7/round lot,Up to 1:30,"*Yes, on rapid accounts",Yes,Yes,Technology,No,Yes,Yes,No,14 Days,400K,No,In-House,Blueberry Markets,"MT4, MT5, DXTrade",3.8,"August 7, 2024",Saint Vincent and the Grenadines,386,1 step,Blueberry Funded.svg
My Funded FX,$75.00 $65.63 ,10K,80%,1: 10% 2: 5%,"Phase 1: 5%, Phase 2 and Funded: 4%","Phase 1: 10%, Phase 2 and Funded: 8%","$3/round lot (MatchTrade, DXTrade)",1: 0.53,14 Days,4.2,June 2022 United States,108,My Funded FX - 2-Step Max - 2-Step 10K,$75.00,$65.63,10K,80%,10%,5%,"Phase 1: 5%, Phase 2 and Funded: 4%","Phase 1: 10%, Phase 2 and Funded: 8%",Balance-based,Static,3 days of .5% profit per day,Unlimited,No,1: 0.53,"$3/round lot (MatchTrade, DXTrade)",Up to 1:30,0%,No,Yes,In-House,Allowed with restriction: 3 minutes before and after a red folder news,Yes,No,No,14 Days,400K,No,White-Label,"Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)",4.2,"June 1, 2022",United States,108,2 steps,My Funded FX.svg
Apex Trader Funding,$167.00 $33.40 ,25K,90%,"1: $1,500",,"$1,500",Visit Website FAQ,1: 1,14 Days,4.5,January 2021 United States,80,Apex Trader Funding - Tradovate/NinjaTrader Plan - 25K Full - 1-Step - 25K,$167.00,$33.40,25K,90%,"$1,500", ,,"$1,500",No daily drawdown,Trailing,7 Days,Unlimited,No,1: 1,Visit Website FAQ,Up to 4 (40 Micros),No,No,No,Broker,Allowed: Evaluation accounts. Not allowed: Funded accounts,No,No,No,14 Days,20 accounts,No, ,Rithmic and Tradovate,NinjaTrader,4.5,"January 1, 2021",United States,80,1 step,Apex Trader Funding.svg
Instant Funding,$69.00 $58.65 ,10K,80%,1: 8% 2: 5% 3: 5%,5%,10%,$7/round lot,1: 0.56,"First 14 days, then 7 days",4.6,June 2022 United Kingdom,97,Instant Funding - Static - Three-Phase - 3-Step 10K,$69.00,$58.65,10K,80%,8%,5%,5%,10%,Balance / Equity - Highest at EOD,Static,3 Days,Unlimited,No,1: 0.56,$7/round lot,Up to 100:1,No,Yes,Yes,Blueberry Markets,Allowed: Evaluation and Swing accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,No,Yes,No,"First 14 days, then 7 days",200K,No,In-House, ,"cTrader, MT5, (DXTrade for US traders)",4.6,"June 1, 2022",United Kingdom,97,3 steps,Instant Funding.svg
Alpha Capital Group,$357.00 $267.75 ,50K,80%,1: 10% 2: 5%,5%,10%,$0,1: 0.67,14 Days,4.4,November 2021 United Kingdom,275,Alpha Capital - Alpha Swing - 2-Step 50K,$357.00,$267.75,50K,80%,10%,5%,5%,10%,Balance-based,Static,3 Days,Unlimited,No,1: 0.67,$0,Up to 30:1,0.25% of the account balance (bonus fee),Yes,Yes,Trading Platform(s),Allowed: Swing accounts. Not allowed: Pro accounts (Permitted during Evaluation),Yes,No,No,14 Days,400K,No,In-House,ACG Markets,"MT5, cTrader, (DXTrade for US traders)",4.4,"November 1, 2021",United Kingdom,275,2 steps,Alpha Capital Group.svg
Lark Funding,$125.00 $112.50 ,10K,80%,1: 10%,5%,6%,$7/round lot,1: 0.6,"First 30 days, then 14 days",4.3,June 2022 Canada,165,Lark Funding - 1-Stage Evaluation - 1-Step 10K,$125.00,$112.50,10K,80%,10%, ,5%,6%,Balance-based,Static,,Unlimited,No,1: 0.6,$7/round lot,Up to 10:1,No,No,Yes,"MT4, MT5, DXTrade",Yes,No,Yes,No,"First 30 days, then 14 days",600K,Yes,White-Label,ThinkMarkets,"cTrader, (DXtrader for US traders)",4.3,"June 1, 2022",Canada,165,1 step,Lark Funding.svg
The 5%ers,$450.00 $427.50 ,10K,75%,10% to double the funded account,3%,6%,$4/round lot,1: 0.6,14 Days,4.9,January 2016 Israel,470,The 5%ers - Hyper Growth Program - Instant 10K,$450.00,$427.50,10K,75%,10% to double the funded account, ,3%,6%,*,Static,,Unlimited,"*Yes, Bootcamp Program only.",1: 0.6,$4/round lot,Up to 30:1,"*Yes, 100% but only in the High Stake plans",Yes,Yes,Buyers Rating,"Highstakes allowed with restriction: 2 minutes prior or after to high-impact news. Allowed for Hyper Growth, Bootcamp programs with no restriction",Yes,No,No,14 Days,40K,Yes,In-House,Commercial Liquidity Providers,MT5,4.9,"January 1, 2016",Israel,470,Instant,The5ers.svg
The Trading Pit,$199.00 $179.10 ,20K,80%,1: 10%,4%,7%,$5/round lot,1: 0.7,Every 14 days for any amount over $100,4.0,October 2022 Liechtenstein,296,The Trading Pit - CFD Prime - 1-Phase Evaluation - 1-Step 20K,$199.00,$179.10,20K,80%,10%, ,4%,7%,Balance-based at 16:00 CT,Static,5 Days,Unlimited,Yes,1: 0.7,$5/round lot,Up to 50:1,"*Yes, 100% only in the CFD challenge",Yes,Yes,"*Yes, but only allows copying signals from your own external master account to your Trading Pit Demo Account and not across multiple Trading Pit accounts (even if it is yours).",Allowed with restriction: 2 minutes prior or after to high-impact news,Yes,No,No,Every 14 days for any amount over $100,1 Earning account per user,No,In-House,"FXFlat, GBE Brokers","MT5, MT4 for CFD- Not available for US traders, ATAS, Quantower, R/Trader, Volsys for Futures- (available for US traders)",4.0,"October 1, 2022",Liechtenstein,296,1 step,The Trading Pit.svg
Blueberry Funded,"$1,000.00 $850.00 ",200K,80%,1: 10% 2: 5%,5%,10%,$7/round lot,1: 0.67,14 Days,3.8,August 2024 Saint Vincent and the Grenadines,1403,Blueberry Funded - 2 Step Evaluation - 2-Step - 200K,"$1,000.00",$850.00,200K,80%,10%,5%,5%,10%,Balance / Equity - Highest at EOD,Static,3 Days (0.5% of profit to be made),Unlimited,"No, see faqs for more information",1: 0.67,$7/round lot,Up to 1:50,"*Yes, on rapid accounts",Yes,Yes,News Trading,No,Yes,Yes,No,14 Days,400K,No,In-House,Blueberry Markets,"MT4, MT5, DXTrade",3.8,"August 7, 2024",Saint Vincent and the Grenadines,1403,2 steps,Blueberry Funded.svg
Fintokei,€999.00 €899.10 ,200K,80% up to 95%,1: 8% 2: 5%,5%,10%,$6/round lot,1: 0.77,14 days from the day first trade was placed,4.8,April 2023 Czech Republic,989,Fintokei - Pro Trader - 2Phase Evaluation - 2-Step- 200K,€999.00,€899.10,200K,80% up to 95%,8%,5%,5%,10%,Equity-based - SOD,Static,3 Days,Unlimited,No,1: 0.77,$6/round lot,Up to 100:1,"Yes, only ProTrader on your first payout",Yes,Yes,Allowed with restriction: 2 minutes prior or after to high-impact news,"Yes, we just advise clients to be careful during these periods of possible higher market volatility",Yes,No,No,14 days from the day first trade was placed,500K,No,White Label,Purple Trading Seychelles,"MT4, MT5, cTrader",4.8,"April 1, 2023",Czech Republic,989,2 steps,fintokei.svg
Ment Funding,"$7,500.00 $6,825.00 ",,75%,1: 10%,5%,6%,$6/round lot,1: 0.6,"First at anytime, then every 30 days",4.8,October 2021 United States,6204,Ment Funding - Evaluation - 1-Step 1M,"$7,500.00","$6,825.00",1M,75%,10%, ,5%,6%,Balance-based,Static,,Unlimited,Yes,1: 0.6,$6/round lot,Up to 20:1,No,Yes,Yes,Weekend Holding,Allowed with restriction: 3 minutes before and after a red folder news,No,No,No,"First at anytime, then every 30 days",2M,No,White-Label,"ThinkMarkets, Match Trade","cTrader, MT4, MT5, (Match Trader, DXtrade for US traders)",4.8,"October 1, 2021",United States,6204,,Ment Funding.svg
Finotive Funding,$499.00 $374.25 ,75K,75%,1: 10%,4%,7.50%,$4/round lot,1: 0.75,"Payout on demand, then every 7 Days",3.8,April 2021 Cyprus,346,Finotive Funding - 1 Phase Challenge - 1-Step 75K,$499.00,$374.25,75K,75%,10%, ,4%,7.50%,Balance-based,Static,,Unlimited,Yes (Instant accounts only),1: 0.75,$4/round lot,Up to 400:1,"Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)",Yes,Yes,Yes,"Yes, News Straddling is Prohibited",Yes,No,No,"Payout on demand, then every 7 Days",1.4M,Yes,In-House,Finotive Markets LLC,MT5,3.8,"April 23, 2021",Hungary,346,1 step,Finotive Funding.svg
